nomeEstado,UF,regiao
Acre,AC,N
Alagoas,AL,NE
Amap‡,AP,N
Amazonas,AM,N
Bahia,BA,NE
Cear‡,CE,NE
Distrito Federal,DF,CO
Esp’rito Santo,ES,SE
Goi‡s,GO,CO
Maranh‹o,MA,NE
Mato Grosso,MT,CO
Mato Grosso do Sul,MS,CO
Minas Gerais,MG,SE
Par‡,PA,N
Para’ba,PB,NE
Paran‡,PR,S
Pernambuco,PE,NE
Piau’,PI,NE
Rio de Janeiro,RJ,SE
Rio Grande do Norte,RN,NE
Rio Grande do Sul,RS,S
Rond™nia,RO,N
Roraima,RR,N
Santa Catarina,SC,S
S‹o Paulo,SP,SE
Sergipe,SE,NE
Tocantins,TO,NE
,,
,,
,,
,,
,,
,,
,,
,,
,,
SIGLAS DOS ESTADOS BRASILEIROSTemas Relacionados,,
¥ Adjetivos p‡trios dos estados brasileiros,,
¥ Estados Brasileiros,,
¥ Estados e Capitais do Brasil,,
Bibliografia Indicada,,
,,
- Hist—ria dos Estados Brasileiros,,
"Ê Autor: Alves Filho, Ivan",,
Ê Editora: Revan,,
"Ê Temas: Hist—ria do Brasil, Geografia do Brasil",,
