Feed	futuros	após	queda	mil	governo	nesta	altas	é	vale	mundo	mês	us	abril	venda	sobe	empresa	bolsa	r	confiança	contra	março	ser	paulo	trimestre	ainda	cai	ações	durante	presidente	cautela	sp	vai	eua	desta	juros	amazon	completo	mede	geral	petrobras	novo	pessoas	ibovespa	alta	pode	post	sexta-feira	1º	leia	commodities	anos	estados	país	reformas	público	bilhões	veja	ano	dia	vez	dólar	principais	lucro	desde	aumento	rio	diz	milhões	trump	vendas	greve	volta	sobre	setor	taxa	brasil
Valor Econômico - Internacional	2	1	3	0	1	1	2	2	2	0	2	4	2	2	3	2	2	0	2	1	2	0	0	5	0	2	2	2	1	5	0	1	1	2	2	2	0	2	2	2	1	0	4	5	0	0	3	4	1	2	0	0	1	5	1	2	0	1	0	1	3	2	3	1	2	0	0	1	0	2	4	2	4	2	2	1
G1 > Tecnologia e Games	0	4	0	4	0	0	0	5	0	1	0	6	0	1	0	2	0	1	0	1	2	0	1	4	0	0	0	1	0	0	0	1	2	0	0	2	0	0	0	0	1	0	0	1	1	0	0	4	0	0	0	0	0	0	0	5	1	0	0	0	0	0	3	2	0	0	4	5	0	1	0	0	1	0	0	2
Valor Econômico - Cultura & Estilo	2	1	3	0	1	1	2	2	2	0	2	4	2	2	3	2	2	0	2	1	2	0	0	5	0	2	2	2	1	5	0	1	1	2	2	2	0	2	2	2	1	0	4	5	0	0	3	4	1	2	0	0	1	5	1	2	0	1	0	1	3	2	3	1	2	0	0	1	0	2	4	2	4	2	2	1
Folha de S.Paulo - Educação - Principal	0	2	0	0	0	2	0	4	0	2	0	0	0	0	0	1	0	0	0	3	0	3	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	2	1	2	0	1	0	3	0	0	1	0	0	0	2	6	0	0	0	0	1	0	1	0	0	0	0	3	0	3	0	2	2
Band Entretenimento	0	5	0	2	0	0	0	7	0	1	0	0	0	0	0	0	0	2	1	1	0	0	6	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	9	1	0	0	0	2	11	0	0	3
Globo.com	0	0	0	9	2	0	0	2	0	0	0	0	3	0	0	1	0	12	0	1	2	2	1	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Folha de S.Paulo - Opinião - Principal	0	0	0	0	2	4	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	2	0	0	1	0	1	0	0	2	0	0	0	1	0	5	4	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	9	0	0	0	1	4
Folha de S.Paulo - Esporte - Principal	0	4	0	1	0	5	0	6	0	2	0	0	0	0	0	1	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	2	0	0	0	0	2	2	0	0	0
G1 > Educação	0	0	0	1	2	1	0	8	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	3	0	0	0	2	0	1	1	1	1	0	0	0	3	0	0	4	0	0	0	0	1	6	0	1	2
G1 > Economia	0	1	3	4	3	2	0	2	0	0	2	3	4	0	2	1	1	8	2	0	5	0	0	7	2	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	3	5	2	0	4	7	0	0	3	2	0	0	2	5	1	7	3	0	1	0	4	0	2	2	3	9	0	0	2	2	3	3	0	4
Valor Econômico - Carreira	2	1	3	0	1	1	2	2	2	0	2	4	2	2	3	2	2	0	2	1	2	0	0	5	0	2	2	2	1	5	0	1	1	2	2	2	0	2	2	2	1	0	4	5	0	0	3	4	1	2	0	0	1	5	1	2	0	1	0	1	3	2	3	1	2	0	0	1	0	2	4	2	4	2	2	1
G1 > Música	0	2	0	0	0	1	0	6	0	0	0	1	0	2	0	0	0	2	0	0	0	2	7	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	3	1	0	0	2	1	1	0	0	0	0	0	0	1	0	3	4	0	0	0	0	2	1	0	0	1
Folha de S.Paulo - Folhinha - Principal	0	1	0	0	0	3	0	9	0	4	1	0	2	0	0	0	0	1	0	0	0	1	2	0	2	0	0	0	0	0	1	1	0	0	0	0	13	0	0	0	2	1	0	0	3	13	0	0	14	0	5	0	0	0	2	0	2	1	3	14	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0
